worm_id,Distance (pixels),Velocity (pixels/s),Area (pixels)
1,396.13977,13.204659016927083,46.44145287751355
2,400.92517,13.36417236328125,78.43850805318863
3,281.67242,9.389080810546876,48.51935999294714
4,115.33905,3.844635009765625,52.287682812146336
5,624.44324,20.814774576822916,544.5187242497373
6,503.97253,16.79908447265625,105.586475960152
7,216.32011,7.210670471191406,67.78295133170487
8,18.659637,0.6219879150390625,7.157298798313029
9,375.48132,12.516044108072917,190.77966170697002
10,39.69817,1.3232723236083985,38.2641963522234
11,7.408289,0.2469429651896159,6.057700852299986
